,title,company,location,salary,post_date,career_level,qualification,experience,job_type,industry
6039,Officer – IT Administration (Ref: HKRI/AOIT/JDB/02),HKR International Ltd,Tsuen Wan Area,Posted on 17 Mar 2021,Posted on 17 Mar 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Property Development
6040,Mobile Developer (IOS),ADECCO,Tung Chung,Salary provided,Posted on 17 Mar 2021,Middle,Non-Degree Tertiary,1 year,"Contract, Full Time",Human Resources Management / Consultancy
6041,IT Support(Financial Services),Hudson,,Salary negotiable,Posted on 17 Mar 2021,Entry Level,Degree,2 years,"Full Time, Permanent","Information Technology (IT), Information Technology (IT) > Network & System, Information Technology (IT) > Others"
6042,Information Security Specialist 35-50K,Hudson,,Salary negotiable,Posted on 17 Mar 2021,Middle,Degree,5 years,"Full Time, Permanent","Information Technology (IT) > Security, Information Technology (IT) > Network & System, Information Technology (IT) > Others"
6043,Digital Project Manager-Fintech,Hudson,,Salary provided,Posted on 17 Mar 2021,Middle,Degree,N/A,"Full Time, Permanent",Information Technology (IT) > IT Project Management / Team Lead
6044,"Backend Developer (fintech, Ruby)",Chandler Macleod,,Salary negotiable,Posted on 17 Mar 2021,Entry Level,Degree,2 years,"Full Time, Permanent","Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > Software Development"
6045,"Database Specialist (MSSQL Server, Oracle)",Automated Systems (HK) Ltd,,Salary provided,Posted on 17 Mar 2021,Entry Level,Degree,2 years,"Contract, Full Time",Information Technology
6046,Analyst Programmer / Senior Analyst Programmer - C# .Net MS SQL - Up to 38K,CKC Solutions Limited,,Salary provided,Posted on 17 Mar 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Others
6047,Front-end Developer (React.js),Automated Systems (HK) Ltd,Kowloon Bay,Salary provided,Posted on 17 Mar 2021,Entry Level,Degree,2 years,"Contract, Full Time",Information Technology
6048,Senior UX & UI Designer,Automated Systems (HK) Ltd,Shatin Area,Salary provided,Posted on 17 Mar 2021,Middle,Degree,3 years,"Contract, Full Time",Information Technology
6049,Software Support Specialist,Visual Paradigm International Limited,Lai Chi Kok,Salary negotiable,Posted on 17 Mar 2021,Entry Level,Non-Degree Tertiary,N/A,Full Time,Information Technology
6050,Senior Business Analyst / Assistant Project Manager,Automated Systems (HK) Ltd,,Salary provided,Posted on 17 Mar 2021,Middle,Degree,6 years,"Contract, Full Time",Athletics / Sports
6051,IT Trainee - Programmer/ Business Analyst/ Mobile Developer (Fresh graduates are welcome),Seamatch Asia Limited,Central & Western Area,"HK$17,000 - HK$20,000 /month (negotiable)",Posted on 17 Mar 2021,Entry Level,Degree,1 year,"Full Time, Permanent",Human Resources Management / Consultancy
6052,IT Support - Insurance - 20k - Contract,Protiviti Hong Kong,Central & Western Area,"HK$17,000 - HK$20,000 /month ",Posted on 17 Mar 2021,Entry Level,Degree,N/A,"Contract, Full Time","Information Technology (IT) > Hardware, Information Technology (IT) > Support, Information Technology (IT) > Network & System"
6053,Desktop Support,HCL Hong Kong SAR Limited,Kowloon City,Salary provided,Posted on 18 Mar 2021,Middle,Not Specified,Not Specified,Contract,Information Technology (IT) > Support
6054,"IT Specialist, JAVA (Programmer/ Developer)",iFAST Financial (HK) Limited,Central,"HK$25,000 - HK$30,000 /month ",Posted on 17 Mar 2021,Entry Level,Degree,1 year,"Full Time, Permanent",Financial Services
6055,ERP System Analyst - Japanese Company (Up to 38K/Shek Mun),RGF HR Agent Hong Kong Limited,Shatin Area,Salary provided,Posted on 19 Mar 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Food and Beverage
6056,Business Analyst (SharePoint/ Content Migration)- 30-50k,Ambition,,Salary negotiable,Posted on 19 Mar 2021,Middle,Degree,2 years,"Contract, Full Time","Information Technology (IT), Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > Others"
6057,Operator (Systems Operations),Hong Kong Interbank Clearing Ltd,Ngau Tau Kok,Posted on 19 Mar 2021,Posted on 19 Mar 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Financial Services
6058,System Analyst (Ref: IT-SA-JDB),Hongkong Land Group Limited,Central,Salary provided,Posted on 18 Mar 2021,Middle,Degree,6 years,"Full Time, Permanent",Property Development
6059,Risk Management Systems: Java SA / Senior AP / AP - Major Bank ,IT Solutions Ltd.,,Salary provided,Posted on 20 Mar 2021,Middle,Degree,3 years,Full Time,Banking
6060,Programmer/ System Analyst ($26K-$45K),Same Page Recruitment Co,Wan Chai Area,Salary negotiable,Posted on 19 Mar 2021,Entry Level,Degree,1 year,"Full Time, Permanent",Information Technology
6061,SYSTEMS ANALYST [Ref. SA],Hutchison Property Management Company Limited,Hung Hom,Posted on 18 Mar 2021,Posted on 18 Mar 2021,Entry Level,Degree,4 years,"Full Time, Permanent",Property Management / Consultancy
6062,DevOps Architect / Developer,Pactera (Hong Kong) Limited,Shatin Area,Salary provided,Posted on 19 Mar 2021,Middle,Degree,5 years,"Full Time, Permanent",Information Technology
6063,Senior Product Executive / Assistant Product Manager,Ingram Micro (China) Ltd,Kwun Tong Area,Salary provided,Posted on 19 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,Information Technology
6064,Software Engineer,Simply Solution HK Limited,Pok Fu Lam,"HK$17,000 - HK$25,000 /month (negotiable)",Posted on 18 Mar 2021,Entry Level,Non-Degree Tertiary,1 year,Full Time,Others
6065,Solutions Consultant,PCCW Global (HKT),Wan Chai,Posted on 19 Mar 2021,Posted on 19 Mar 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Telecommunication
6066,Technical consultant,Randstad Hong Kong Limited,,"HK$35,000 - HK$55,000 /month (negotiable)",Posted on 19 Mar 2021,Senior,Degree,N/A,"Full Time, Permanent",Information Technology (IT)
6067,Software Developer (Mobile App & Web Server),Businsoft Limited,Shatin Area,Salary negotiable,Posted on 18 Mar 2021,Entry Level,Degree,Not Specified,"Full Time, Permanent",Information Technology
6068,Senior Frontend Developer,NP Solution Limited,Kowloon Bay,Salary provided,Posted on 20 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,Information Technology
6069,Service Delivery Professional (IT Project),China Construction Bank (Asia) Corporation Limited,Kowloon Bay,Salary provided,Posted on 17 Mar 2021,Entry Level,Degree,3 years,"Full Time, Permanent",Financial Services
6070,Assistant Manager - IT Security Analyst,Michael Page,,Salary provided,Posted on 19 Mar 2021,Senior,Degree,5 years,"Full Time, Permanent","Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > Security, Information Technology (IT) > Network & System"
6071,"Senior Manager, Data Governance & Quality Management",Dah Sing Financial Group,North Point,Salary provided,Posted on 19 Mar 2021,Senior,Degree,10 years,"Full Time, Permanent","Information Technology (IT) > Product Management / Business Analyst, Information Technology (IT) > Testing / QA, Information Technology (IT) > Data Scientist"
6072,Mobile Game Developer (in-house) (iOS or Android),Cybergate Technology Limited,Lai Chi Kok,Salary negotiable,Posted on 19 Mar 2021,Entry Level,Matriculated,Not Specified,Full Time,Information Technology
6073,電腦維修師傅,Totem Technology (HK) Limited,Causeway Bay,Salary provided,Posted on 18 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,"Information Technology (IT) > Hardware, Information Technology (IT) > Support"
6074,"Business Process Manager - MNC - HKD 70,000 - 80,000 per month + Bonus ",FrankAsia Search Limited,,"HK$55,000 - HK$90,000 /month (negotiable)",Posted on 19 Mar 2021,Senior,Degree,10 years,"Full Time, Permanent",Others
6075,Data Scientist/ Data Scientist Trainee/ Direct Marketing Specialist/ Campaign Production Specialist,DEVFAS Consulting Company Limited,Mong Kok,Salary negotiable,Posted on 19 Mar 2021,Middle,Degree,Not Specified,Full Time,Management Consultancy / Service
6076,System Developer,Job Station Personnel Agency Limited,Cheung Sha Wan,Salary provided,Posted on 19 Mar 2021,Middle,Degree,1 year,"Full Time, Permanent",Information Technology
6077,UX/UI Designer,HKT,Wan Chai,Posted on 19 Mar 2021,Posted on 19 Mar 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Telecommunication
6078,System Engineer,Mango Technology Consultant Limited,Sheung Wan,Salary provided,Posted on 18 Mar 2021,Middle,Non-Degree Tertiary,2 years,Permanent,Information Technology
6079,QA Engineer / Senior QA Engineer,Attivo Consulting Limited,,Salary provided,Posted on 20 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,Human Resources Management / Consultancy
6080,System Engineer,Eastech Systems Limited,,Salary negotiable,Posted on 18 Mar 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent","Information Technology (IT) > Hardware, Information Technology (IT) > Support, Information Technology (IT) > Network & System"
6081,"System Analyst (Data Platform Architect), Information Technology",FWD Life Insurance Company (Bermuda) Limited,Kwun Tong,Salary negotiable,Posted on 17 Mar 2021,Middle,Degree,4 years,Full Time,"Professional Services > Business Analysis / Data Analysis, Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > Data Scientist"
6082,Permanent/Contract Architect/Senior Specialist/Specialist I(Application Development)–Web Application,Hong Kong Interbank Clearing Ltd,Ngau Tau Kok,Posted on 19 Mar 2021,Posted on 19 Mar 2021,Not Specified,Degree,3 years,"Full Time, Permanent",Financial Services
6083,"Senior Lead Engineer / Lead Engineer, Computer Vision",Hong Kong Applied Science and Technology Research Institute Company Limited (ASTRI),Shatin Area,Salary provided,Posted on 19 Mar 2021,Not Specified,Degree,Not Specified,"Contract, Full Time",Information Technology
6084,Senior Systems Engineer,Infocan Computer (Hong Kong) Ltd,Eastern Area,Posted on 19 Mar 2021,Posted on 19 Mar 2021,Middle,Degree,3 years,"Contract, Full Time, Permanent",Information Technology
6085,Programmer (Java)-  Full Time (5-day work week),Pacific Prime Insurance Brokers Ltd,Kwun Tong Area,Salary negotiable,Posted on 18 Mar 2021,Not Specified,Not Specified,1 year,Full Time,Insurance / Pension Funding
6086,Database Administrator (5 Days Work),Nexify Limited,Kwun Tong,Salary provided,Posted on 19 Mar 2021,Middle,Non-Degree Tertiary,5 years,"Full Time, Permanent",Information Technology
6087,MIS officer / Engineer,Evolpro IT Solutions Limited,Kwai Hing,Salary negotiable,Posted on 18 Mar 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Information Technology
6088,IT Clerk (IT) ,Primetech Technology Limited,Kwun Tong Area,"HK$11,000 - HK$17,000 /month (negotiable)",Posted on 17 Mar 2021,Entry Level,Matriculated,N/A,Full Time,Information Technology
6089,Operator (Ref: OP/18032021),IXTech Ltd,Kwai Fong,Salary provided,Posted on 18 Mar 2021,Entry Level,School Certificate,N/A,Full Time,Information Technology
6090,Assistant Software Engineer (R&T Development) ,Logistics and Supply Chain MultiTech R&D Centre Limited,Pok Fu Lam,Salary provided,Posted on 18 Mar 2021,Entry Level,Degree,Not Specified,Contract,"Information Technology (IT) > Support, Information Technology (IT) > Software Development, Information Technology (IT) > Testing / QA"
6091,Application Support,Million Tech Development Ltd,Lai Chi Kok,Salary negotiable,Posted on 18 Mar 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Information Technology
6092,Java Developer  | SaaS Business Process Automation Solutions,Ambitious People,Central & Western Area,"HK$30,000 - HK$55,000 /month (negotiable)",Posted on 19 Mar 2021,Middle,Primary,N/A,"Full Time, Permanent","Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > IT Management"
6093,Cloud Engineer – Cloud/Linux/AWS/Azure/GCP/Container/Projects,TEKsystems,,Salary provided,Posted on 19 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,"Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > IT Management, Information Technology (IT) > Others"
6094,Full Stack Engineer - Sal. up to 70k per month,Manpower Services (Hong Kong) Limited,Shatin Area,Salary provided,Posted on 19 Mar 2021,Middle,Degree,5 years,Contract,Information Technology (IT) > Software Development
6095,Infrastructure Specialist (HK$40K - $55K) (Ref. No.:23459),Global Executive Consultants Ltd.,,Salary provided,Posted on 19 Mar 2021,Middle,Degree,Not Specified,"Contract, Full Time, Permanent","Information Technology (IT) > Hardware, Information Technology (IT) > Support, Information Technology (IT) > Network & System"
6096,"Senior System Analyst - 5 days, 13 months + bonus, Wan Chai, urgent",Beehire Personnel Limited,,Salary provided,Posted on 19 Mar 2021,Senior,Degree,4 years,"Full Time, Permanent",Information Technology
6097,Infrastructure Manager / Infrastructure Architect (HK$45K - $70K) (Ref. No.:15102),Global Executive Consultants Ltd.,,Salary provided,Posted on 19 Mar 2021,Senior,Degree,Not Specified,"Contract, Full Time, Permanent","Information Technology (IT) > Security, Information Technology (IT) > Network & System, Information Technology (IT) > Technical Writing"
6098,"Manager, Data Governance, Privacy and Protection, Technology Consulting",KPMG,Aberdeen,Salary negotiable,Posted on 18 Mar 2021,Middle,Degree,5 years,Permanent,Information Technology (IT) > Others
6099,Data Modeler - Sal. up to 100k per month,Manpower Services (Hong Kong) Limited,Kowloon City Area,Salary provided,Posted on 19 Mar 2021,Senior,Degree,8 years,Contract,Information Technology (IT) > Others
6100,Business Officer (IT),Million Tech Development Ltd,Lai Chi Kok,Salary negotiable,Posted on 17 Mar 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Information Technology
6101,AZURE CLOUD CONSULTANT - 1 YEAR CONTRACT (REF: 10003415),HKBN JOS Limited,Tai Koo,Posted on 19 Mar 2021,Posted on 19 Mar 2021,Middle,Degree,3 years,Contract,Information Technology
6102,IT Pre-Sales Consultant (Fresh Gard Welcome to apply),JFE Consulting Limited,,Salary negotiable,Posted on 19 Mar 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
6103,Research Program Coordinator,Laboratory for AI-Powered Financial Technologies Limited,Shatin Area,Salary negotiable,Posted on 18 Mar 2021,Entry Level,Degree,1 year,Full Time,Information Technology
6104,IT Database Administrator,Emperor Group,Wan Chai,Posted on 17 Mar 2021,Posted on 17 Mar 2021,Senior,Degree,8 years,"Full Time, Permanent",Mixed Industry Group
6105,Data Analyst (5-Day Work Week),Qupital Limited,Mong Kok,Salary negotiable,Posted on 18 Mar 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Financial Services
6106,"Senior Analyst Programmer (Data Engineer), Information Technology (1-year contract)",FWD Life Insurance Company (Bermuda) Limited,Kwun Tong,Salary negotiable,Posted on 17 Mar 2021,Entry Level,Degree,4 years,Full Time,"Professional Services > Business Analysis / Data Analysis, Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > Data Scientist"
6107,iOS & Android Apps Developer (5-Day Work),JTSoft Company Limited,Wong Tai Sin Area,Salary provided,Posted on 19 Mar 2021,Middle,Degree,3 years,"Full Time, Permanent",Information Technology
6108,Frontend Developer for LegalTech AI Platform,DocPro Limited,Kwun Tong,Salary provided,Posted on 18 Mar 2021,Middle,Degree,Not Specified,Full Time,"Information Technology (IT) > Software Development, Professional Services > Legal & Compliance, E-commerce > Software Development"
6109,IT Manager & IT Director - 2 roles (50k & 100k + Bonus),Hays,,"HK$55,000 - HK$120,000 /month (negotiable)",Posted on 17 Mar 2021,Senior,Degree,N/A,"Full Time, Permanent","Information Technology (IT), Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > Application Specialist - Network"
6110,Application Developer - Operation Department,China Galaxy International Financial Holdings Limited,Sheung Wan,Salary negotiable,Posted on 18 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,"Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > IT Management"
6111,"Manager (Infrastructure), Information Technology",Huaan Securities (Hong Kong) Financial Holding Limited,Central,Salary provided,Posted on 16 Mar 2021,Not Specified,Degree,Not Specified,Full Time,Financial Services
6112,IT Executive,Mandarin Motion Pictures Limited,Quarry Bay,Salary provided,Posted on 16 Mar 2021,Middle,Non-Degree Tertiary,3 years,Full Time,Entertainment / Recreation
6113,Full Stack Developer / Web Developer (In-house Professional Firm)(20K – 35K),Kiwi Search (Global) Limited,,Salary provided,Posted on 19 Mar 2021,Entry Level,Degree,1 year,"Full Time, Permanent",General Business Services
6114,SOFTWARE DEVELOPER (DIGITAL MEDIA),The Hong Kong Academy for Performing Arts,Wan Chai,Salary negotiable,Posted on 18 Mar 2021,Entry Level,Degree,Not Specified,"Contract, Full Time",Education
6115,Technical Services Manager (Bank),Conners Consulting Limited,,Salary provided,Posted on 19 Mar 2021,Middle,Degree,6 years,"Full Time, Permanent",Banking
6116,Full Stack Engineer - Sal. up to 100k,Manpower Services (Hong Kong) Limited,Central & Western Area,Salary provided,Posted on 19 Mar 2021,Middle,Degree,8 years,Contract,Information Technology (IT) > Software Development
6117,System Engineer / Senior System Engineer,Hong Kong Television Network Limited,Tseung Kwan O,Salary provided,Posted on 17 Mar 2021,Middle,Degree,5 years,"Full Time, Permanent",Others
6118,"Senior System Analyst (LifeAsia/AS400), Information Technology",FWD Life Insurance Company (Bermuda) Limited,Kwun Tong,Salary negotiable,Posted on 17 Mar 2021,Middle,Degree,6 years,Full Time,"Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > Software Development, E-commerce > Software Development"
6119,System Analyst,Morgan McKinley,,Salary provided,Posted on 19 Mar 2021,Middle,Degree,N/A,"Full Time, Permanent",Information Technology (IT) > Application Specialist - Software
6120,Software Engineering Internship - Mobile Apps Development (VTT231/J03),VTech Telecommunications Limited,Tai Po Area,Salary negotiable,Posted on 18 Mar 2021,Entry Level,Non-Degree Tertiary,N/A,Internship,Manufacturing
6121,Specialist (Clearing Operations) (Two-Year Programme),Hong Kong Interbank Clearing Ltd,Ngau Tau Kok,Posted on 19 Mar 2021,Posted on 19 Mar 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Financial Services
6122,IT Programme Manager - CyberSecurity Programme,Pinpoint Asia Limited,,"HK$70,000 - HK$120,000 /month (negotiable)",Posted on 18 Mar 2021,Top,Degree,10 years,"Full Time, Permanent",Information Technology
6123," Major Bank: BI Analyst Programmer / System Analyst (Cognos, Business Intelligence) ",IT Solutions Ltd.,,Salary provided,Posted on 20 Mar 2021,Middle,Degree,2 years,Full Time,Information Technology
6124,Project Manager / Business Analyst,GrammyTech Ltd,,Salary negotiable,Posted on 19 Mar 2021,Middle,Degree,3 years,"Full Time, Permanent",Entertainment / Recreation
6125,Data Center Operator- Regional Insurance Firm- HKD$15k-25k,David James Recruitment Limited,,Salary provided,Posted on 19 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,Insurance / Pension Funding
6126,Senior I.T. Officer,Lung Fung Pharmaceutical (Group) Limited,Fanling,Salary provided,Posted on 17 Mar 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Health & Beauty Care
6127,Internet & Mobile Banking: JAVA  SA / AP/ P (Fresh Grad Welcome) - Major Bank,IT Solutions Ltd.,,Salary provided,Posted on 20 Mar 2021,Middle,Degree,N/A,Full Time,Information Technology
6128,Business Analyst/ Senior Business Analyst,醫結有限公司,Kwun Tong,Salary provided,Posted on 18 Mar 2021,Entry Level,Degree,2 years,"Full Time, Permanent",Information Technology
6129,Postdoctoral Fellow (Systems),Logistics and Supply Chain MultiTech R&D Centre Limited,Pok Fu Lam,Salary provided,Posted on 18 Mar 2021,Middle,Postgraduate,4 years,"Full Time, Permanent",Information Technology
6130,Analyst Programmer (ASP.NET Developer) (5-day work),Integrated Enterprise Solutions Ltd.,Kwun Tong,Salary negotiable,Posted on 19 Mar 2021,Middle,Non-Degree Tertiary,2 years,"Full Time, Permanent",Information Technology
6131,"Supervisor,  IT Security",Hong Kong Airlines Limited,Tung Chung,Salary negotiable,Posted on 17 Mar 2021,Middle,Degree,3 years,Permanent,Information Technology (IT) > Security
6132,IT Senior Associate,Experis,Central,Salary negotiable,Posted on 17 Mar 2021,Entry Level,Degree,5 years,Full Time,Information Technology (IT) > Support
6133,"Assistant IT Officer (E-Form, Workflow solution)",Manpower Services (Hong Kong) Limited,Hung Hom,Salary provided,Posted on 18 Mar 2021,Entry Level,Non-Degree Tertiary,1 year,Contract,"Information Technology (IT) > Support, Information Technology (IT) > Product Management / Business Analyst, Information Technology (IT) > Others"
6134,Software Engineer 軟件工程師,iASPEC Services Limited,Shatin Area,Salary negotiable,Posted on 18 Mar 2021,Middle,Degree,N/A,Full Time,Information Technology
6135,Senior Technical Analyst – IT Management and Security (HK$35K - $55K) (Ref. No.: 24643),Global Executive Consultants Ltd.,,Salary provided,Posted on 19 Mar 2021,Middle,Non-Degree Tertiary,Not Specified,"Contract, Full Time, Permanent","Information Technology (IT) > IT Management, Information Technology (IT) > Security, Information Technology (IT) > Network & System"
6136,System Analyst,Green Tomato Limited,Kwun Tong,Salary negotiable,Posted on 18 Mar 2021,Senior,Degree,2 years,"Full Time, Permanent",Information Technology
6137,Senior Analyst Programmer / System Analyst (Perm) - Up to 50K ,Betterment Asia Limited,,Salary provided,Posted on 19 Mar 2021,Middle,Degree,4 years,"Full Time, Permanent",Information Technology
6138,Programmer (Fresh Graduates Are Welcome) (Ref: JB/CHB/Prog),Chubb Hong Kong Limited,Kowloon Bay,Salary provided,Posted on 18 Mar 2021,Entry Level,Non-Degree Tertiary,3 years,"Full Time, Permanent",Security / Fire / Electronic Access Controls
6139,System Engineer,3Tech Corporate Ltd,Hung Hom,Salary provided,Posted on 18 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,Manufacturing
6140,Analyst Programmer - Java,Drake Overload Ltd,Lai Chi Kok,Salary negotiable,Posted on 19 Mar 2021,Not Specified,Non-Degree Tertiary,3 years,"Full Time, Permanent",Information Technology
6141,Senior Infrastructure Engineer - Financial Institution,Kelly Services Hong Kong Limited,Central & Western Area,Salary provided,Posted on 19 Mar 2021,Senior,Degree,4 years,Full Time,Information Technology
6142,Project Manager (Java Application Framework / Project Management / Cloud / Open Source Development),EDPS Systems Limited,,Salary provided,Posted on 16 Mar 2021,Middle,Degree,10 years,"Contract, Full Time",Information Technology (IT) > IT Project Management / Team Lead
6143,"IT Manager/Business Partner (Trading System) @ HKD 50,000",RecruitFirst Limited,Central & Western Area,Salary provided,Posted on 16 Mar 2021,Middle,Degree,3 years,"Full Time, Permanent",Financial Services
6144,程式/系統編寫工程師,Cheung Hing Electronic & Electrical Engineering Co Ltd,Kwun Tong,Salary provided,Posted on 16 Mar 2021,Entry Level,Degree,2 years,Full Time,Engineering - Electrical / Electronic / Mechanical
6145,Technical Manager - SMART400 & AS400 ,HCL Hong Kong SAR Limited,Wan Chai,Salary provided,Posted on 16 Mar 2021,Middle,Not Specified,3 years,"Full Time, Permanent",Information Technology
6146,Technical Lead - AS400,HCL Hong Kong SAR Limited,Wan Chai,Salary provided,Posted on 16 Mar 2021,Middle,Not Specified,5 years,"Full Time, Permanent",Information Technology
6147,IT Project Manager ,Ai Pu Jing Software Technology (Hong Kong) Co Ltd,Kowloon Bay,Salary provided,Posted on 16 Mar 2021,Middle,Degree,6 years,"Full Time, Permanent",Information Technology
6148,Full Stack Developer - PERM,Pathos Consultancy Limited,Admiralty,Salary provided,Posted on 16 Mar 2021,Middle,Degree,3 years,"Full Time, Permanent",Information Technology
6149,"Assistant Project Manager, Top Tier Private/ Retail Banking",Page Group Hong Kong,,Salary provided,Posted on 16 Mar 2021,Senior,Degree,N/A,"Full Time, Temporary","Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > IT Management, Information Technology (IT) > Product Management / Business Analyst"
6150,IT Admin,Tech Advance Consultancy Limited,,Salary provided,Posted on 16 Mar 2021,Entry Level,School Certificate,N/A,"Contract, Full Time",Financial Services
6151,"Product/ Project Manager, eCommerce/ eStore - Retail",ConnectedGroup Ltd,,"HK$35,000 - HK$55,000 /month ",Posted on 16 Mar 2021,Senior,Degree,7 years,"Full Time, Permanent","Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > Product Management / Business Analyst, Information Technology (IT) > Software Development"
6152,Technical Business Analyst,HCL Hong Kong SAR Limited,Wan Chai,Salary provided,Posted on 16 Mar 2021,Middle,Not Specified,5 years,"Full Time, Permanent",Information Technology
6153,Business Analyst,HCL Hong Kong SAR Limited,Wan Chai,Salary provided,Posted on 16 Mar 2021,Not Specified,Not Specified,5 years,"Full Time, Permanent",Information Technology
6154,Technical Lead - Frontend Development,HCL Hong Kong SAR Limited,Wan Chai,Salary provided,Posted on 16 Mar 2021,Middle,Not Specified,3 years,"Full Time, Permanent",Information Technology
6155,QA Engineer (Manual Testing),HCL Hong Kong SAR Limited,Wan Chai Area,Salary provided,Posted on 16 Mar 2021,Middle,Degree,2 years,"Full Time, Permanent",Information Technology
6156,SpringBoot Developer,HCL Hong Kong SAR Limited,Wan Chai,Salary provided,Posted on 16 Mar 2021,Entry Level,Not Specified,1 year,"Full Time, Permanent",Information Technology
6157,Senior Java Developer / Java Developer,HCL Hong Kong SAR Limited,Wan Chai,Salary provided,Posted on 16 Mar 2021,Entry Level,Not Specified,1 year,"Full Time, Permanent",Information Technology
6158,Technical Lead / Senior Software Engineer - Java,HCL Hong Kong SAR Limited,Wan Chai,Salary provided,Posted on 16 Mar 2021,Middle,Not Specified,3 years,"Full Time, Permanent",Information Technology
6159,"Backend Web Developer ( PHP, Laravel ) Young, Energetic people needed!",Osmium Consulting Group Limited,Kwai Hing,Salary provided,Posted on 16 Mar 2021,Entry Level,Non-Degree Tertiary,2 years,"Full Time, Permanent",Media / Publishing / Printing
6160,"Front-end Developer (ASP.NET, Sitecore, Javascript, CSS, HTML5)",HCL Hong Kong SAR Limited,Wan Chai,Salary provided,Posted on 16 Mar 2021,Not Specified,Not Specified,3 years,"Full Time, Permanent",Information Technology
6161,Application Support Analyst,HCL Hong Kong SAR Limited,Wan Chai,Salary provided,Posted on 16 Mar 2021,Middle,Not Specified,5 years,"Full Time, Permanent",Information Technology
6162,Technical Lead - DevOps,HCL Hong Kong SAR Limited,Wan Chai,Salary provided,Posted on 16 Mar 2021,Middle,Not Specified,4 years,"Full Time, Permanent",Information Technology
6163,IT Manager [Linux | Shell | Python | AWS | Ansible | CI | Nginx | MySQL | Open source software],"JAC Recruitment Hong Kong Co., Limited",Tsim Sha Tsui,Salary provided,Posted on 16 Mar 2021,Middle,Degree,7 years,Full Time,Financial Services
6164,Digital Designer/ Multimedia Designer - Fast Growing Team ,Endeavour Search Limited,,Salary provided,Posted on 16 Mar 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Human Resources Management / Consultancy
6165,Assistant IT Procurement Manager,Bank of China (Hong Kong) Limited,Shatin Area,Salary provided,Posted on 16 Mar 2021,Entry Level,Degree,3 years,Full Time,Banking
6166,Technical Lead / Senior Software Engineer - .NET Development,HCL Hong Kong SAR Limited,Wan Chai,Salary provided,Posted on 16 Mar 2021,Middle,Not Specified,3 years,"Full Time, Permanent",Information Technology
6167,項目總經理,Money Generator Technology Limited,Mong Kok,Salary provided,Posted on 16 Mar 2021,Not Specified,Degree,10 years,Full Time,Information Technology (IT) > IT Project Management / Team Lead
6168,ios / Android Developer - Project Team ( 5 Days with 30-40K) ,Global Development Personnel Co Limited,Shatin Area,Salary provided,Posted on 16 Mar 2021,Middle,Degree,2 years,"Full Time, Permanent",Human Resources Management / Consultancy
6169,Account Director (IT Cloud Software),Kelly Services Hong Kong Limited,Central & Western Area,Salary provided,Posted on 16 Mar 2021,Top,Degree,10 years,Full Time,Information Technology
6170,"IT Security Specialist (F5, Impreva, Palo Alto, SIEM)","JAC Recruitment Hong Kong Co., Limited",Tsim Sha Tsui,Salary provided,Posted on 16 Mar 2021,Entry Level,Degree,4 years,Full Time,Financial Services
6171,Term IT Innovation Specialist 參考編號 : O/HQIP-ODA/Term ITIS/02/21,Vocational Training Council,,Posted on 16 Mar 2021,Posted on 16 Mar 2021,Entry Level,Degree,2 years,Full Time,"Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > IT Management, Information Technology (IT) > Software Development"
